Id,Date,RobotID,UserID,Successful
311,"2019-12-17 17:37:50",5532,771,1
312,"2019-12-17 23:30:53",5557,777,1
313,"2019-12-21 06:02:58",5669,785,0
314,"2019-12-22 06:11:19",5727,789,1
315,"2019-12-22 06:23:35",5581,789,1
316,"2019-12-22 06:27:26",5727,789,0
317,"2019-12-23 09:29:24",5709,792,1
318,"2019-12-23 09:30:12",5718,792,1
319,"2019-12-23 10:06:10",5718,771,0
320,"2019-12-23 11:08:52",5842,793,1
321,"2019-12-24 12:27:39",5862,771,1
322,"2019-12-25 08:09:02",5924,792,1
323,"2019-12-25 08:09:03",5757,792,1
324,"2019-12-25 08:09:05",5862,792,0
325,"2019-12-25 08:09:07",5924,792,0
326,"2019-12-25 08:09:10",5952,792,1
327,"2019-12-25 08:09:12",5959,792,1
328,"2019-12-25 08:09:14",5964,792,0
329,"2019-12-25 08:09:15",5966,792,0
330,"2019-12-25 08:09:17",5968,792,0
331,"2019-12-25 08:10:19",5952,792,0
332,"2019-12-25 08:10:52",5966,792,1
333,"2019-12-25 08:11:13",5964,792,0
334,"2019-12-25 08:12:32",5964,792,1
335,"2019-12-25 08:14:40",5968,792,1
336,"2019-12-25 08:28:05",5972,792,1
337,"2019-12-25 08:47:48",5952,792,0
338,"2020-01-05 13:26:05",6090,771,1
339,"2020-01-06 10:40:31",6081,771,1
340,"2020-01-08 16:44:48",6166,771,1
341,"2020-01-08 16:46:22",6169,771,1
342,"2020-01-08 16:54:50",6181,771,1
343,"2020-01-09 21:21:11",6251,840,1
344,"2020-01-09 21:35:23",6292,771,1
345,"2020-01-10 16:13:15",6251,847,0
346,"2020-01-10 16:13:43",6220,847,1
347,"2020-01-13 17:38:10",6506,864,1
348,"2020-01-14 20:04:50",6417,771,1
349,"2020-01-14 21:22:12",6613,869,1
350,"2020-01-18 21:22:31",6621,882,1
351,"2020-01-26 10:14:08",6899,916,1
352,"2020-02-01 16:50:45",7016,946,1
353,"2020-02-05 04:42:04",7232,959,1
354,"2020-02-05 05:53:26",7335,959,1
355,"2020-02-09 07:46:27",7458,706,0
356,"2020-02-09 07:48:15",7461,706,1
357,"2020-02-09 07:49:31",7401,706,0
358,"2020-02-09 17:50:54",7460,981,0
359,"2020-02-11 04:26:30",7401,399,1
