Users
Id,PosReinforcements,NegReinforcements,CommandCount,DateAdded,Points,PointsPerSec,StartInfoClaims,EndInfoClaims
318,4,4,0,2019-07-25 21:36:16,14.2219184,0.4,0,0
319,50,50,1,2019-07-26 01:05:51,813.1531643,21.0,1,0
320,0,0,0,2019-07-26 11:59:54,4.3914202,0.1,0,0
321,5,5,0,2019-07-26 19:13:43,23.3859544,0.2,1,0
322,0,0,0,2019-07-27 05:01:57,11.0,0.1,1,0
323,1,1,0,2019-07-27 09:34:18,5.9045819,0.2,0,0
324,3,3,0,2019-07-27 12:08:48,3.0740934,0.2,0,0
325,1,1,0,2019-07-28 01:56:53,4.6002988,0.2,0,0
326,1,1,0,2019-07-28 03:03:03,1.0,0.2,0,0
327,22,22,0,2019-07-29 00:02:20,109.0284688,0.8,0,0
328,39,39,0,2019-07-29 12:15:03,444.8143466,1.0,0,0
329,3,3,0,2019-07-29 19:05:29,11.7724312,0.2,0,0
330,4,4,0,2019-07-30 00:19:52,13.7504264,0.2,0,0
331,0,0,0,2019-07-30 01:05:33,1.0,0.1,0,0
332,19,19,0,2019-07-30 04:38:52,144.3480194,0.7,0,0
333,2,2,0,2019-07-30 12:40:53,7.1648678,0.2,0,0
334,261,258,29,2019-07-31 02:57:52,6642.7311997,36.4,0,0
335,383,381,21,2019-07-31 17:07:02,26208.4157359,43.0,0,0
336,11,11,0,2019-07-31 17:33:24,77.5064447,0.5,0,0
337,0,0,0,2019-08-01 03:41:34,1.0,0.1,0,0
338,2,2,0,2019-08-01 04:22:23,4.1899356,0.2,0,0
339,0,0,0,2019-08-01 09:56:08,4.7317125,0.1,0,0
340,0,0,0,2019-08-01 13:51:52,1.0,0.1,0,0
341,8,8,0,2019-08-01 22:49:24,64.9992276,0.7,0,0
342,5,5,0,2019-08-02 14:40:19,17.2464794,0.3,0,0
343,16,16,0,2019-08-02 15:04:23,128.5591869,0.5,0,0
344,6,6,0,2019-08-02 15:32:35,44.6005608,0.5,0,0
345,58,58,1,2019-08-02 16:25:21,2691.0748952,1.6,0,0
346,6,6,0,2019-08-02 17:25:32,13.2511242,0.3,0,0
347,1,1,0,2019-08-02 18:52:43,3.2231723,0.1,0,0
348,15,15,0,2019-08-02 19:25:49,197.8100874,0.5,0,0
349,41,40,2,2019-08-02 19:49:25,1707.1103772,1.5,0,0
350,1,1,0,2019-08-02 23:23:34,1.0,0.1,0,0
351,3965,3952,8,2019-08-03 01:30:02,1244783.6762092,60.6,1,0
352,22,22,0,2019-08-03 08:25:26,215.5332612,0.9,0,0
353,9,9,0,2019-08-03 08:50:49,27.8407609,0.4,0,0
354,1,1,0,2019-08-03 09:35:19,1.0,0.1,0,0
355,3,3,0,2019-08-03 09:35:26,3.7860872,0.3,0,0
356,1,1,0,2019-08-03 10:40:18,4.2238988,0.1,0,0
357,34,34,0,2019-08-03 14:08:51,209.7250403,0.9,0,0
358,2,2,0,2019-08-03 16:44:14,4.6043202,0.1,0,0
359,0,0,0,2019-08-04 19:14:05,1.0,0.1,0,0
360,38,38,0,2019-08-05 00:04:11,271.6524764,1.5,0,0
361,5,5,0,2019-08-05 01:24:37,10.1991451,0.3,0,0
362,121,120,9,2019-08-05 03:15:15,575.4614952,15.2,0,0
363,19,19,0,2019-08-05 09:51:57,93.789944,0.5,0,0
364,25,25,0,2019-08-05 10:44:43,164.7072766,0.7,0,0
365,31,31,0,2019-08-05 14:31:34,1091.8438781,1.4,0,0
366,155,154,0,2019-08-05 15:28:40,24626.0205275,7.5,0,0
367,675,674,5,2019-08-05 15:37:05,13281.7691683,27.9,0,0
368,4,4,0,2019-08-05 16:44:56,12.2572099,0.4,0,0
369,12,12,0,2019-08-05 17:48:52,32.3980934,0.5,0,0
370,3,3,0,2019-08-05 18:48:17,8.7621488,0.3,0,0
371,17,17,0,2019-08-05 20:52:26,68.7360904,0.6,0,0
372,2,2,0,2019-08-05 21:29:15,5.1487718,0.2,0,0
373,19,19,0,2019-08-05 21:55:48,209.2781515,0.8,0,0
374,1,1,0,2019-08-05 21:57:19,1.0,0.1,0,0
375,4,4,0,2019-08-05 22:44:06,18.8434196,0.4,0,0
376,3,3,0,2019-08-06 00:50:24,21.1305301,0.3,0,0
377,17,17,0,2019-08-06 02:03:55,74.5274033,0.6,0,0
378,0,0,0,2019-08-06 02:09:16,4.3974173,0.1,0,0
379,2,2,0,2019-08-06 02:58:03,4.1550025,0.2,0,0
380,4,4,0,2019-08-06 04:31:29,13.067109,0.2,0,0
381,2,2,0,2019-08-06 07:44:18,2.0945566,0.1,0,0
382,51,51,0,2019-08-06 08:19:23,1330.5505751,2.7,0,0
383,18,18,0,2019-08-06 11:59:21,72.8090343,0.6,0,0
384,4,4,0,2019-08-06 18:52:13,4.4533356,0.2,0,0
385,4,4,0,2019-08-06 23:08:26,18.5097807,0.3,0,0
386,8,8,0,2019-08-07 11:19:16,18.0220488,0.2,0,0
387,2,2,0,2019-08-07 13:16:59,3.8051482,0.2,0,0
388,13,12,0,2019-08-08 01:30:41,37.3208317,0.4,0,0
389,119,118,0,2019-08-08 03:43:59,2331.1808104,3.1,0,0
390,4,4,0,2019-08-08 15:14:51,33.9437648,0.4,0,0
391,112,112,0,2019-08-08 21:30:35,3524.7494385,2.8,0,0
392,1,1,0,2019-08-09 01:36:28,23.2480664,0.1,0,0
393,7,7,0,2019-08-09 01:44:44,39.3914642,0.7,0,0
