Id,Entry,Date,UserID
333,"I noticed some are cloned some","2019-05-29 17:00:32.898465",1
334,"you're only supposed to vote w","2019-05-29 17:00:35.059531",4
335,j,"2019-05-29 17:00:49.044448",1
336,p,"2019-05-29 17:00:53.783724",3
337,"I'm not sure who is codding be","2019-05-29 17:01:05.489881",1
338,"both looks like dev","2019-05-29 17:01:14.997536",3
339,"These are clones","2019-05-29 17:01:15.929604",1
340,b,"2019-05-29 17:01:18.191072",1
341,b,"2019-05-29 17:01:19.142762",3
342,sb,"2019-05-29 17:01:37.348315",3
343,o,"2019-05-29 17:01:39.610064",1
344,"*beeing cute","2019-05-29 17:01:44.768217",4
345,":D you stole blue from yoursel","2019-05-29 17:02:01.532113",1
346,?familyTree,"2019-05-29 17:02:03.126997",5
347,j,"2019-05-29 17:02:10.280642",1
348,j,"2019-05-29 17:02:15.929537",4
349,"yeah i'm dumb i just see that ","2019-05-29 17:02:17.102429",3
350,:D,"2019-05-29 17:02:20.620289",1
351,y,"2019-05-29 17:02:21.304863",3
352,bj,"2019-05-29 17:02:28.377514",5
353,?evolution,"2019-05-29 17:02:33.512254",3
354,w,"2019-05-29 17:02:36.575798",1
355,b,"2019-05-29 17:02:37.090024",3
356,r,"2019-05-29 17:03:04.275417",1
357,"oh no my red","2019-05-29 17:03:19.738804",3
358,*nagging,"2019-05-29 17:03:21.462834",1
359,S:(,"2019-05-29 17:03:33.046715",1
360,*hidding,"2019-05-29 17:03:43.959754",3
361,b,"2019-05-29 17:03:57.477477",1
362,"*Stealing Robots","2019-05-29 17:04:05.430757",1
363,*Torching,"2019-05-29 17:04:15.068403",1
364,"*being stupid","2019-05-29 17:04:17.233361",4
365,*Torturing,"2019-05-29 17:04:18.227864",1
366,*voting,"2019-05-29 17:04:24.795127",3
367,"*Sky Diving","2019-05-29 17:04:35.313690",1
368,"*find the secret of the univer","2019-05-29 17:04:49.474436",3
369,p,"2019-05-29 17:04:50.647469",1
370,"so efficient","2019-05-29 17:05:01.716704",3
371,"*Getting out of blackholes","2019-05-29 17:05:07.379875",1
372,*driving,"2019-05-29 17:05:09.735318",1
373,"We're teaching the robots to b","2019-05-29 17:05:21.716135",1
