



































































































3 of 10 bots unlocked.
2 of 10 environments unlocked.



         432134 function calls (423152 primitive calls) in 14.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 robot.py:146(Send_To_Simulator)
      124    0.008    0.000    0.008    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
        1    0.000    0.000    0.008    0.008 cm.py:19(<module>)
        2    0.000    0.000    0.008    0.004 backend_agg.py:197(get_text_width_height_descent)
        1    0.000    0.000    0.008    0.008 _policybase.py:4(<module>)
   206/70    0.000    0.000    0.008    0.000 _base.py:737(get_yaxis_transform)
        1    0.000    0.000    0.008    0.008 artist.py:1(<module>)
    22/18    0.000    0.000    0.008    0.000 axis.py:464(_get_tick1line)
        1    0.000    0.000    0.007    0.007 _constrained_layout.py:16(<module>)
      373    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      550    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        1    0.000    0.000    0.007    0.007 index_tricks.py:1(<module>)
  742/178    0.003    0.000    0.007    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.007    0.007 lines.py:4(<module>)
        1    0.000    0.000    0.007    0.007 mathtext.py:16(<module>)
        1    0.000    0.000    0.007    0.007 _common.py:3(<module>)
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
     3797    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        1    0.000    0.000    0.007    0.007 _axes.py:119(Axes)
        1    0.000    0.000    0.007    0.007 legend.py:22(<module>)
    22/18    0.000    0.000    0.007    0.000 axis.py:585(_get_tick1line)
      484    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
     1156    0.001    0.000    0.007    0.000 colors.py:150(to_rgba)
    22/18    0.000    0.000    0.007    0.000 axis.py:475(_get_tick2line)
      150    0.000    0.000    0.006    0.000 cm.py:81(_generate_cmap)
        1    0.000    0.000    0.006    0.006 population.py:143(Get_Original_Robots)
        1    0.000    0.000    0.006    0.006 tempfile.py:24(<module>)
    22/18    0.000    0.000    0.006    0.000 axis.py:600(_get_tick2line)
        1    0.000    0.000    0.006    0.006 population.py:118(Get_Living_Robots)
      815    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       27    0.000    0.000    0.006    0.000 pyparsing.py:2816(__init__)
       10    0.000    0.000    0.006    0.001 population.py:133(Get_Original_Robot)
        3    0.000    0.000    0.006    0.002 backend_agg.py:248(_get_agg_font)
       64    0.001    0.000    0.006    0.000 colors.py:713(from_list)
      464    0.001    0.000    0.006    0.000 artist.py:885(update)
     2208    0.002    0.000    0.006    0.000 enum.py:283(__call__)
       10    0.000    0.000    0.006    0.001 population.py:123(Get_Living_Robot)
       48    0.000    0.000    0.006    0.000 axis.py:766(_set_scale)
    33033    0.005    0.000    0.006    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.006    0.006 random.py:38(<module>)
       48    0.000    0.000    0.006    0.000 scale.py:63(set_default_locators_and_formatters)
        1    0.000    0.000    0.006    0.006 font_manager.py:21(<module>)
        3    0.000    0.000    0.006    0.002 font_manager.py:1370(findfont)
        3    0.000    0.000    0.006    0.002 font_manager.py:1162(findfont)
        1    0.001    0.001    0.006    0.006 font_manager.py:1198(_findfont_cached)
       39    0.001    0.000    0.006    0.000 __init__.py:1638(param)
5593/4479    0.003    0.000    0.005    0.000 artist.py:225(stale)
     1282    0.001    0.000    0.005    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.005    0.005 __init__.py:88(<module>)
     3508    0.005    0.000    0.005    0.000 {built-in method numpy.core.multiarray.array}
        1    0.000    0.000    0.005    0.005 offsetbox.py:15(<module>)
        1    0.000    0.000    0.005    0.005 cumulativeYesVotes.py:1(<module>)
       35    0.000    0.000    0.005    0.000 _collections_abc.py:824(update)
        1    0.000    0.000    0.005    0.005 main.py:1(<module>)
        1    0.001    0.001    0.005    0.005 pyrosim.py:1405(start)
        1    0.000    0.000    0.005    0.005 utils.py:5(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:24(<module>)
        1    0.000    0.000    0.005    0.005 _base.py:1(<module>)
       19    0.000    0.000    0.005    0.000 rcsetup.py:825(validate_cycler)
       30    0.000    0.000    0.005    0.000 __init__.py:826(__init__)
        1    0.000    0.000    0.005    0.005 phylotree.py:1(<module>)
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
      324    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.005    0.005 mlab.py:155(<module>)
      324    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
      175    0.000    0.000    0.005    0.000 transforms.py:2001(rotate_deg_around)
     1026    0.000    0.000    0.005    0.000 {built-in method builtins.next}
       22    0.000    0.000    0.005    0.000 axis.py:490(_get_gridline)
        2    0.000    0.000    0.005    0.002 subprocess.py:650(__init__)
     1824    0.002    0.000    0.005    0.000 inspect.py:2465(__init__)
      492    0.001    0.000    0.005    0.000 rcsetup.py:358(validate_color)
       13    0.000    0.000    0.005    0.000 enum.py:612(_convert)
      648    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        2    0.000    0.000    0.005    0.002 database.py:18(__init__)
        1    0.000    0.000    0.005    0.005 defmatrix.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:19(<module>)
        3    0.000    0.000    0.004    0.001 __init__.py:2(<module>)
       22    0.000    0.000    0.004    0.000 axis.py:614(_get_gridline)
        1    0.000    0.000    0.004    0.004 image.py:4(<module>)
        1    0.000    0.000    0.004    0.004 result.py:1(<module>)
      126    0.001    0.000    0.004    0.000 deprecation.py:178(deprecate)
        1    0.000    0.000    0.004    0.004 mathtext.py:2202(Parser)
        2    0.000    0.000    0.004    0.002 subprocess.py:1377(_execute_child)
      108    0.001    0.000    0.004    0.000 text.py:131(__init__)
        1    0.000    0.000    0.004    0.004 mathtext.py:2738(<lambda>)
        1    0.000    0.000    0.004    0.004 mathtext.py:2738(<listcomp>)
       98    0.004    0.000    0.004    0.000 {built-in method posix.getcwd}
      177    0.000    0.000    0.004    0.000 rcsetup.py:69(f)
        1    0.000    0.000    0.004    0.004 robot.py:110(Preform_Prenatal_Development)
        1    0.004    0.004    0.004    0.004 robot.py:18(Compute_Initial_State)
        1    0.000    0.000    0.004    0.004 shutil.py:5(<module>)
       48    0.000    0.000    0.004    0.000 ticker.py:2527(__init__)
       12    0.000    0.000    0.004    0.000 artist.py:1094(__init__)
    11529    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.004    0.004 database.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:936(rc_params)
        1    0.000    0.000    0.004    0.004 __init__.py:41(<module>)
        1    0.000    0.000    0.004    0.004 ssl.py:91(<module>)
       12    0.001    0.000    0.004    0.000 artist.py:1114(get_aliases)
       48    0.000    0.000    0.004    0.000 ticker.py:1821(__init__)
      491    0.000    0.000    0.004    0.000 colors.py:121(is_color_like)
      884    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
     5758    0.003    0.000    0.004    0.000 __init__.py:870(__getitem__)
      691    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.004    0.004 robot.py:1(<module>)
        1    0.000    0.000    0.004    0.004 hashlib.py:54(<module>)
       18    0.002    0.000    0.004    0.000 enum.py:134(__new__)
       96    0.000    0.000    0.004    0.000 ticker.py:1897(set_params)
        2    0.000    0.000    0.004    0.002 _base.py:588(_init_axis)
      132    0.000    0.000    0.004    0.000 markers.py:223(__init__)
      390    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
       14    0.000    0.000    0.004    0.000 enum.py:388(_create_)
      500    0.000    0.000    0.003    0.000 contextlib.py:107(__enter__)
      395    0.003    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.003    0.003 axis.py:3(<module>)
     3797    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      376    0.001    0.000    0.003    0.000 colors.py:184(_to_rgba_no_colorcycle)
        2    0.000    0.000    0.003    0.002 _version.py:7(<module>)
    21143    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
       10    0.000    0.000    0.003    0.000 pyparsing.py:4404(__init__)
      367    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      654    0.002    0.000    0.003    0.000 inspect.py:2748(__init__)
      178    0.001    0.000    0.003    0.000 sre_compile.py:536(_compile_info)
      212    0.000    0.000    0.003    0.000 __init__.py:540(dedent)
    33/10    0.000    0.000    0.003    0.000 pyparsing.py:3809(leaveWhitespace)
        1    0.000    0.000    0.003    0.003 __init__.py:15(<module>)
    10709    0.002    0.000    0.003    0.000 mathtext.py:2739(<genexpr>)
      254    0.000    0.000    0.003    0.000 rcsetup.py:342(validate_color_for_prop_cycle)
       44    0.000    0.000    0.003    0.000 lines.py:939(get_path)
      132    0.000    0.000    0.003    0.000 markers.py:294(set_marker)
       11    0.000    0.000    0.003    0.000 pyparsing.py:1630(parseString)
      117    0.000    0.000    0.003    0.000 rcsetup.py:90(<listcomp>)
        3    0.000    0.000    0.003    0.001 pyplot.py:621(close)
       44    0.001    0.000    0.003    0.000 lines.py:637(recache)
        2    0.000    0.000    0.003    0.002 _pylab_helpers.py:42(destroy)
      429    0.000    0.000    0.003    0.000 pyparsing.py:1177(copy)
     1560    0.001    0.000    0.003    0.000 re.py:170(match)
        1    0.000    0.000    0.003    0.003 robotInfo.py:13(__init__)
        1    0.000    0.000    0.003    0.003 __init__.py:97(<module>)
       44    0.000    0.000    0.003    0.000 axis.py:342(_apply_params)
       39    0.000    0.000    0.003    0.000 inspect.py:3073(signature)
       28    0.001    0.000    0.003    0.000 __init__.py:316(namedtuple)
       39    0.000    0.000    0.003    0.000 inspect.py:2821(from_callable)
        1    0.000    0.000    0.003    0.003 agraph.py:5(<module>)
      306    0.002    0.000    0.003    0.000 artist.py:82(__init__)
      198    0.000    0.000    0.003    0.000 text.py:180(update)
       21    0.000    0.000    0.003    0.000 pyparsing.py:1260(setParseAction)
        1    0.000    0.000    0.003    0.003 backend_bases.py:33(<module>)
       16    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
     6423    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:1380(_parseNoCache)
      431    0.001    0.000    0.003    0.000 copy.py:66(copy)
     1647    0.001    0.000    0.003    0.000 colors.py:116(_is_nth_color)
        1    0.000    0.000    0.003    0.003 pyrosim.py:1(<module>)
       23    0.000    0.000    0.003    0.000 pyparsing.py:1049(_trim_arity)
     3877    0.001    0.000    0.003    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.003    0.003 inspect.py:27(<module>)
    63/11    0.000    0.000    0.003    0.000 pyparsing.py:3463(parseImpl)
       40    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       22    0.000    0.000    0.003    0.000 pyparsing.py:1057(extract_stack)
      168    0.000    0.000    0.003    0.000 docstring.py:90(dedent)
        1    0.000    0.000    0.003    0.003 __init__.py:23(<module>)
      313    0.000    0.000    0.003    0.000 fromnumeric.py:1933(any)
      592    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.003    0.003 socket.py:47(<module>)
  899/338    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.003    0.003 traceback.py:1(<module>)
       22    0.000    0.000    0.003    0.000 traceback.py:200(extract_stack)
      720    0.001    0.000    0.003    0.000 artist.py:61(_stale_axes_callback)
      463    0.000    0.000    0.003    0.000 transforms.py:1267(__add__)
      108    0.001    0.000    0.003    0.000 font_manager.py:575(__init__)
      339    0.001    0.000    0.002    0.000 fromnumeric.py:64(_wrapreduction)
        6    0.000    0.000    0.002    0.000 patches.py:1830(_pprint_styles)
   121/59    0.000    0.000    0.002    0.000 pyparsing.py:3429(copy)
       22    0.000    0.000    0.002    0.000 traceback.py:318(extract)
    58/10    0.000    0.000    0.002    0.000 pyparsing.py:3354(leaveWhitespace)
        4    0.000    0.000    0.002    0.001 axis.py:701(__init__)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
        2    0.002    0.001    0.002    0.001 {built-in method _posixsubprocess.fork_exec}
      220    0.000    0.000    0.002    0.000 artist.py:1008(set)
     4653    0.002    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
      130    0.000    0.000    0.002    0.000 textwrap.py:414(dedent)
       22    0.000    0.000    0.002    0.000 axis.py:431(_get_text1)
      365    0.001    0.000    0.002    0.000 transforms.py:757(__init__)
        2    0.000    0.000    0.002    0.001 environment.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pyplot.py:2043(_setup_pyplot_info_docstrings)
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
        1    0.000    0.000    0.002    0.002 font_manager.py:883(json_load)
       30    0.000    0.000    0.002    0.000 rcsetup.py:446(validate_font_properties)
        1    0.000    0.000    0.002    0.002 population.py:89(Determine_Simulation_Type)
